location,tag_name,flwr_number,photo_ID,area,perimeter,circularity,feret,feret_X,feret_Y,feret_angle,min_feret,aspect_ratio,roundness,solidity,OL_width_left,OL_width_right,IL_width,trough_length_left,angle_left,trough_length_right,angle_right,limitations,exclude,notes,measurements_done?
T05-G03,BRD_15,3,DSC_0148,0.784,7.934,0.156,2.041,4069,1337,84.968,1.42,1.405,0.712,0.445,0.26,0.259,0.324,0.847,16.658,0.703,-31.232,1,0,,
T05-G05,TIC_17,3,DSC_0040,0.858,6.961,0.223,2.104,2148,1163.25,145.064,1.32,1.746,0.573,0.518,0.202,0.182,0.44,0.821,80.423,0.724,21.606,0,0,,
T05-G07,GPN_10,3,DSC_0194,0.171,3.079,0.227,1.089,1796,1613,94.062,0.463,3.228,0.31,0.591,0.091,0.094,0.135,0.294,44.003,0.29,-34.966,0,0,,
T05-G09,FUR_08,3,DSC_0141,1.35,8.546,0.232,2.409,2132,1873,86.952,1.597,1.394,0.717,0.583,0.301,0.269,0.534,1.055,34.28,0.952,-33.571,0,0,,
T05-G11,GPN_03,3,DSC_0196,0.374,4.467,0.236,1.431,3787,1553,81.693,0.74,1.994,0.502,0.595,0.147,0.187,0.295,0.507,41.829,0.605,-55.267,0,0,,
T05-G13,PMS_03,3,DSC_0008,1.557,10.099,0.192,2.748,2030.333,1405,82.8,1.857,1.446,0.692,0.473,0.34,0.279,0.42,1.195,32.619,1.277,-36.437,0,0,,
T06-A01,GPN_20,3,DSC_0162,1.406,10.747,0.153,2.598,2279,1767,85.494,1.731,1.332,0.751,0.527,0.349,0.373,0.517,1.092,28.051,1.011,-34.796,0,0,,
T06-A03,SUC_03,3,DSC_0014,1.189,7.571,0.261,2.068,1612.5,1542,155.944,1.543,1.176,0.85,0.587,0.275,0.242,0.485,1.047,39.735,1.023,-13.561,0,0,,
T06-A05,BFF_18,4,DSC_0180,1.025,8.894,0.163,2.359,3820,1965.75,87.208,1.716,1.398,0.715,0.401,0.224,0.203,0.448,1.117,28.78,1.06,-32.242,0,0,,
T06-A07,STM_10,3,DSC_0027,1.593,9.849,0.206,2.401,2729,3364,86.375,1.832,1.109,0.902,0.529,0.372,0.385,0.62,1.408,33.914,1.439,-37.921,0,0,,
T06-A09,STM_02,3,DSC_0043,1.331,9.197,0.198,2.235,1537,1519,173.258,1.78,1.319,0.758,0.509,0.231,0.151,0.809,1.195,24.36,1.27,-37.51,1,0,right petal is curled and feret angle is high (ImageJ is measuring horiztonally instead of vertically),
T06-A11,OGP_02,3,DSC_0162,0.795,7.963,0.157,2.19,4244,1473,101.49,1.421,1.555,0.643,0.421,0.212,0.17,0.351,0.962,51.831,1.017,-21.507,1,0,,
T06-A13,PMS_16,3,DSC_0015,1.14,7.895,0.23,2.076,2157.75,1304,140.759,1.692,1.032,0.969,0.504,0.284,0.261,0.421,1.104,14.353,1.046,-40.246,0,0,,
T06-B02,TIC_16,3,DSC_0037,1.6,9.648,0.216,2.455,2482,1330.5,93.374,1.829,1.27,0.787,0.538,0.291,0.312,0.727,1.323,38.991,1.164,-27.951,0,0,,
T06-B04,JCP_15,3,DSC_0144,1.26,7.928,0.252,2.13,4218,2856,133.214,1.524,1.118,0.894,0.561,0.378,0.326,0.704,1.112,-91.488,1.163,9.287,0,0,feret angle weird because petal is upside down,
T06-B06,KAB_08,3,DSC_0194,1.097,8.92,0.173,2.332,4207.333,2009.667,83.126,1.622,1.36,0.735,0.487,0.254,0.224,0.492,0.969,16.572,0.966,-37.975,0,0,,
T06-B08,LRR_09,3,DSC_0038,1.583,10.499,0.18,2.763,4593,2776,81.589,1.861,1.211,0.826,0.498,0.362,0.337,0.539,1.253,26.706,1.194,-31.402,0,0,,
T06-B10,TIC_13,3,DSC_0150,1.643,11.391,0.159,2.957,2730,1108,91.71,1.683,1.637,0.611,0.57,0.414,0.392,0.63,0.881,16.621,0.813,-20.4,0,0,,
T06-B12,SUC_10,3,DSC_0047,1.301,7.822,0.267,1.833,2057,1753,7.479,1.492,1.044,0.957,0.691,0.374,0.304,0.72,0.976,35.346,1.031,-26.042,0,0,feret is odd b/c petal is wider than it is long ,
T06-B14,KAB_07,3,DSC_0176,0.841,7.079,0.211,2.022,4010,1621,98.463,1.365,1.353,0.739,0.525,0.204,0.216,0.421,0.876,38.589,0.874,-25.551,0,0,,
T06-C01,STM_19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,never germinated,
T06-C03,PMS_11,3,DSC_0027,1.167,7.282,0.277,2.052,4664,3289,80.932,1.48,1.039,0.963,0.607,0.362,0.388,0.429,0.96,27.887,0.971,-39.207,2,0,,
